sustained_wind_kmh,pressure_hpa,distance_to_coast_km,historical_cyclone_density,cyclone_season,label
55.6,998.5,0.0,0.498,1,0
46.3,1001.6,613.0,0.0,1,0
46.3,1001.6,734.0,0.0,1,0
55.6,998.5,682.0,0.123,1,0
51.9,999.8,469.0,0.247,1,0
101.9,983.0,608.0,0.0,1,1
64.8,995.4,384.0,0.247,1,1
101.9,983.0,44.0,0.0,1,1
101.9,983.0,160.0,0.493,1,1
46.3,1001.6,78.0,0.0,1,0
46.3,1001.6,133.0,0.0,1,0
61.1,996.7,437.0,0.0,1,0
88.9,987.4,573.0,0.0,1,1
116.7,978.1,693.0,0.123,1,1
138.9,970.6,765.0,0.0,1,2
163.0,962.6,532.0,0.369,1,2
181.5,956.3,253.0,0.984,1,2
203.7,948.9,0.0,0.123,1,2
111.1,979.9,0.0,0.0,1,1
61.1,996.7,771.0,0.0,1,0
83.3,989.2,712.0,0.245,1,1
64.8,995.4,603.0,0.368,1,1
55.6,998.5,414.0,0.696,1,0
79.6,990.5,145.0,0.928,1,1
88.9,987.4,83.0,0.812,1,1
101.9,983.0,30.0,0.464,1,1
74.1,992.3,0.0,0.0,1,1
27.8,1007.9,158.0,0.231,1,0
37.0,1004.8,285.0,0.462,1,0
46.3,1001.6,84.0,0.115,1,0
37.0,1004.8,0.0,0.115,1,0
51.9,999.8,196.0,0.0,1,0
64.8,995.4,331.0,0.115,1,1
46.3,1001.6,162.0,1.038,1,0
55.6,998.5,422.0,0.115,1,0
55.6,998.5,0.0,0.115,1,0
46.3,1001.6,807.0,0.115,1,0
83.3,989.2,92.0,0.342,0,1
55.6,998.5,0.0,0.228,0,0
55.6,998.5,0.0,0.114,0,0
46.3,1001.6,0.0,0.114,0,0
46.3,1001.6,285.0,0.339,0,0
55.6,998.5,53.0,0.565,0,0
46.3,1001.6,429.0,0.887,1,0
46.3,1001.6,0.0,0.111,1,0
61.1,996.7,170.0,0.0,1,0
101.9,983.0,172.0,0.0,1,1
181.5,956.3,79.0,0.0,1,2
185.2,955.1,46.0,0.11,1,2
175.9,958.2,404.0,0.0,1,2
181.5,956.3,650.0,0.22,1,2
218.5,943.9,317.0,0.22,1,2
259.3,930.3,21.0,0.771,1,2
